id,group,score,note
211,B,32,"This is a deliberately long audit note for row 211, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
212,C,55,"This is a deliberately long audit note for row 212, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
213,D,68,"This is a deliberately long audit note for row 213, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
214,E,47,"This is a deliberately long audit note for row 214, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
215,A,46,"This is a deliberately long audit note for row 215, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
216,B,21,"This is a deliberately long audit note for row 216, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
217,C,19.50,"This is a deliberately long audit note for row 217, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
218,D,9,"This is a deliberately long audit note for row 218, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
219,E,61,"This is a deliberately long audit note for row 219, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
220,A,,"This is a deliberately long audit note for row 220, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
221,B,BAD,"This is a deliberately long audit note for row 221, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
222,C,-11,"This is a deliberately long audit note for row 222, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
223,D,109,"This is a deliberately long audit note for row 223, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
224,E,93.60,"This is a deliberately long audit note for row 224, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
225,A,3,"This is a deliberately long audit note for row 225, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
226,B,4,"This is a deliberately long audit note for row 226, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
227,C,86,"This is a deliberately long audit note for row 227, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
228,D,81,"This is a deliberately long audit note for row 228, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
229,E,26,"This is a deliberately long audit note for row 229, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
230,A,35,"This is a deliberately long audit note for row 230, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
231,B,60.32,"This is a deliberately long audit note for row 231, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
232,C,47,"This is a deliberately long audit note for row 232, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
233,D,68,"This is a deliberately long audit note for row 233, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
234,E,27,"This is a deliberately long audit note for row 234, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
235,A,22,"This is a deliberately long audit note for row 235, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
236,B,69,"This is a deliberately long audit note for row 236, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
237,C,13,"This is a deliberately long audit note for row 237, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
238,D,15.28,"This is a deliberately long audit note for row 238, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
239,E,73,"This is a deliberately long audit note for row 239, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
240,A,,"This is a deliberately long audit note for row 240, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
241,B,BAD,"This is a deliberately long audit note for row 241, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
242,C,-8,"This is a deliberately long audit note for row 242, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
243,D,139,"This is a deliberately long audit note for row 243, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
244,E,70,"This is a deliberately long audit note for row 244, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
245,A,80.86,"This is a deliberately long audit note for row 245, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
246,B,58,"This is a deliberately long audit note for row 246, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
247,C,53,"This is a deliberately long audit note for row 247, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
248,D,83,"This is a deliberately long audit note for row 248, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
249,E,43,"This is a deliberately long audit note for row 249, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
250,A,69,"This is a deliberately long audit note for row 250, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
251,B,69,"This is a deliberately long audit note for row 251, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
252,C,40.77,"This is a deliberately long audit note for row 252, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
253,D,59,"This is a deliberately long audit note for row 253, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
254,E,40,"This is a deliberately long audit note for row 254, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
255,A,46,"This is a deliberately long audit note for row 255, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
256,B,100,"This is a deliberately long audit note for row 256, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
257,C,56,"This is a deliberately long audit note for row 257, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
258,D,32,"This is a deliberately long audit note for row 258, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
259,E,20.27,"This is a deliberately long audit note for row 259, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
260,A,,"This is a deliberately long audit note for row 260, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
261,B,BAD,"This is a deliberately long audit note for row 261, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
262,C,-22,"This is a deliberately long audit note for row 262, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
263,D,156,"This is a deliberately long audit note for row 263, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
264,E,67,"This is a deliberately long audit note for row 264, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
265,A,78,"This is a deliberately long audit note for row 265, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
266,B,25.07,"This is a deliberately long audit note for row 266, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
267,C,1,"This is a deliberately long audit note for row 267, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
268,D,78,"This is a deliberately long audit note for row 268, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
269,E,4,"This is a deliberately long audit note for row 269, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
270,A,40,"This is a deliberately long audit note for row 270, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
271,B,39,"This is a deliberately long audit note for row 271, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
272,C,16,"This is a deliberately long audit note for row 272, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
273,D,36.38,"This is a deliberately long audit note for row 273, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
274,E,14,"This is a deliberately long audit note for row 274, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
275,A,92,"This is a deliberately long audit note for row 275, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
276,B,75,"This is a deliberately long audit note for row 276, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
277,C,51,"This is a deliberately long audit note for row 277, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
278,D,48,"This is a deliberately long audit note for row 278, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
279,E,73,"This is a deliberately long audit note for row 279, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
280,A,,"This is a deliberately long audit note for row 280, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
281,B,BAD,"This is a deliberately long audit note for row 281, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
282,C,-5,"This is a deliberately long audit note for row 282, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
283,D,147,"This is a deliberately long audit note for row 283, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
284,E,89,"This is a deliberately long audit note for row 284, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
285,A,83,"This is a deliberately long audit note for row 285, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
286,B,54,"This is a deliberately long audit note for row 286, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
287,C,68.15,"This is a deliberately long audit note for row 287, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
288,D,52,"This is a deliberately long audit note for row 288, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
289,E,81,"This is a deliberately long audit note for row 289, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
290,A,39,"This is a deliberately long audit note for row 290, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
291,B,87,"This is a deliberately long audit note for row 291, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
292,C,7,"This is a deliberately long audit note for row 292, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
293,D,2,"This is a deliberately long audit note for row 293, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
294,E,21.67,"This is a deliberately long audit note for row 294, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
295,A,37,"This is a deliberately long audit note for row 295, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
296,B,71,"This is a deliberately long audit note for row 296, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
297,C,98,"This is a deliberately long audit note for row 297, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
298,D,44,"This is a deliberately long audit note for row 298, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
299,E,39,"This is a deliberately long audit note for row 299, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
300,A,,"This is a deliberately long audit note for row 300, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
301,B,BAD,"This is a deliberately long audit note for row 301, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
302,C,-13,"This is a deliberately long audit note for row 302, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
303,D,127,"This is a deliberately long audit note for row 303, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
304,E,7,"This is a deliberately long audit note for row 304, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
305,A,82,"This is a deliberately long audit note for row 305, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
306,B,14,"This is a deliberately long audit note for row 306, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
307,C,95,"This is a deliberately long audit note for row 307, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
308,D,4.36,"This is a deliberately long audit note for row 308, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
309,E,1,"This is a deliberately long audit note for row 309, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
310,A,56,"This is a deliberately long audit note for row 310, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
311,B,32,"This is a deliberately long audit note for row 311, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
312,C,67,"This is a deliberately long audit note for row 312, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
313,D,37,"This is a deliberately long audit note for row 313, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
314,E,76,"This is a deliberately long audit note for row 314, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
315,A,0.56,"This is a deliberately long audit note for row 315, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
316,B,90,"This is a deliberately long audit note for row 316, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
317,C,13,"This is a deliberately long audit note for row 317, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
318,D,87,"This is a deliberately long audit note for row 318, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
319,E,66,"This is a deliberately long audit note for row 319, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
320,A,,"This is a deliberately long audit note for row 320, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
321,B,BAD,"This is a deliberately long audit note for row 321, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
322,C,-22,"This is a deliberately long audit note for row 322, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
323,D,134,"This is a deliberately long audit note for row 323, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
324,E,47,"This is a deliberately long audit note for row 324, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
325,A,3,"This is a deliberately long audit note for row 325, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
326,B,25,"This is a deliberately long audit note for row 326, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
327,C,75,"This is a deliberately long audit note for row 327, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
328,D,5,"This is a deliberately long audit note for row 328, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
329,E,84.72,"This is a deliberately long audit note for row 329, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
330,A,23,"This is a deliberately long audit note for row 330, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
331,B,36,"This is a deliberately long audit note for row 331, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
332,C,37,"This is a deliberately long audit note for row 332, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
333,D,52,"This is a deliberately long audit note for row 333, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
334,E,21,"This is a deliberately long audit note for row 334, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
335,A,58,"This is a deliberately long audit note for row 335, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
336,B,76.72,"This is a deliberately long audit note for row 336, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
337,C,44,"This is a deliberately long audit note for row 337, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
338,D,63,"This is a deliberately long audit note for row 338, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
339,E,12,"This is a deliberately long audit note for row 339, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
340,A,,"This is a deliberately long audit note for row 340, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
341,B,BAD,"This is a deliberately long audit note for row 341, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
342,C,-20,"This is a deliberately long audit note for row 342, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
343,D,137,"This is a deliberately long audit note for row 343, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
344,E,40,"This is a deliberately long audit note for row 344, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
345,A,20,"This is a deliberately long audit note for row 345, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
346,B,44,"This is a deliberately long audit note for row 346, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
347,C,35,"This is a deliberately long audit note for row 347, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
348,D,82,"This is a deliberately long audit note for row 348, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
349,E,15,"This is a deliberately long audit note for row 349, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
350,A,81.38,"This is a deliberately long audit note for row 350, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
351,B,73,"This is a deliberately long audit note for row 351, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
352,C,33,"This is a deliberately long audit note for row 352, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
353,D,57,"This is a deliberately long audit note for row 353, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
354,E,11,"This is a deliberately long audit note for row 354, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
355,A,93,"This is a deliberately long audit note for row 355, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
356,B,57,"This is a deliberately long audit note for row 356, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
357,C,82.42,"This is a deliberately long audit note for row 357, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
358,D,61,"This is a deliberately long audit note for row 358, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
359,E,62,"This is a deliberately long audit note for row 359, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
360,A,,"This is a deliberately long audit note for row 360, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
361,B,BAD,"This is a deliberately long audit note for row 361, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
362,C,-15,"This is a deliberately long audit note for row 362, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
363,D,102,"This is a deliberately long audit note for row 363, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
364,E,51.53,"This is a deliberately long audit note for row 364, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
365,A,30,"This is a deliberately long audit note for row 365, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
366,B,48,"This is a deliberately long audit note for row 366, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
367,C,88,"This is a deliberately long audit note for row 367, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
368,D,95,"This is a deliberately long audit note for row 368, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
369,E,79,"This is a deliberately long audit note for row 369, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
370,A,72,"This is a deliberately long audit note for row 370, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
371,B,71.30,"This is a deliberately long audit note for row 371, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
372,C,99,"This is a deliberately long audit note for row 372, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
373,D,20,"This is a deliberately long audit note for row 373, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
374,E,85,"This is a deliberately long audit note for row 374, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
375,A,39,"This is a deliberately long audit note for row 375, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
376,B,95,"This is a deliberately long audit note for row 376, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
377,C,83,"This is a deliberately long audit note for row 377, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
378,D,95.92,"This is a deliberately long audit note for row 378, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
379,E,49,"This is a deliberately long audit note for row 379, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
380,A,,"This is a deliberately long audit note for row 380, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
381,B,BAD,"This is a deliberately long audit note for row 381, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
382,C,-10,"This is a deliberately long audit note for row 382, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
383,D,157,"This is a deliberately long audit note for row 383, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
384,E,48,"This is a deliberately long audit note for row 384, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
385,A,98.93,"This is a deliberately long audit note for row 385, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
386,B,44,"This is a deliberately long audit note for row 386, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
387,C,27,"This is a deliberately long audit note for row 387, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
388,D,74,"This is a deliberately long audit note for row 388, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
389,E,16,"This is a deliberately long audit note for row 389, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
390,A,83,"This is a deliberately long audit note for row 390, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
391,B,52,"This is a deliberately long audit note for row 391, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
392,C,47.40,"This is a deliberately long audit note for row 392, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
393,D,40,"This is a deliberately long audit note for row 393, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
394,E,53,"This is a deliberately long audit note for row 394, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
395,A,57,"This is a deliberately long audit note for row 395, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
396,B,86,"This is a deliberately long audit note for row 396, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
397,C,25,"This is a deliberately long audit note for row 397, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
398,D,59,"This is a deliberately long audit note for row 398, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
399,E,39.71,"This is a deliberately long audit note for row 399, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
400,A,,"This is a deliberately long audit note for row 400, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
401,B,BAD,"This is a deliberately long audit note for row 401, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
402,C,-3,"This is a deliberately long audit note for row 402, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
403,D,160,"This is a deliberately long audit note for row 403, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
404,E,96,"This is a deliberately long audit note for row 404, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
405,A,82,"This is a deliberately long audit note for row 405, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
406,B,49.69,"This is a deliberately long audit note for row 406, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
407,C,78,"This is a deliberately long audit note for row 407, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
408,D,100,"This is a deliberately long audit note for row 408, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
409,E,54,"This is a deliberately long audit note for row 409, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
410,A,15,"This is a deliberately long audit note for row 410, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
411,B,24,"This is a deliberately long audit note for row 411, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
412,C,13,"This is a deliberately long audit note for row 412, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
413,D,15.48,"This is a deliberately long audit note for row 413, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
414,E,47,"This is a deliberately long audit note for row 414, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
415,A,10,"This is a deliberately long audit note for row 415, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
416,B,77,"This is a deliberately long audit note for row 416, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
417,C,93,"This is a deliberately long audit note for row 417, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
418,D,74,"This is a deliberately long audit note for row 418, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
419,E,71,"This is a deliberately long audit note for row 419, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
420,A,,"This is a deliberately long audit note for row 420, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
